dataset,cover_model,detector,attempted_bits_per_transition_mean,attempted_bits_per_transition_std,n_seeds,auc_mean,auc_std,auc_min,auc_max,balanced_accuracy_mean,balanced_accuracy_std,balanced_accuracy_min,balanced_accuracy_max,eer_mean,eer_std,eer_min,eer_max
tgbl-wiki,backoff,forest,0.2105,0.002220360331117448,5,0.5417535680000001,0.001112989930416035,0.54040733,0.543252065,0.52268,0.0006496152707564907,0.5218499999999999,0.52335,0.47733,0.0006563154729244006,0.4766,0.47814999999999996
tgbl-wiki,backoff,linear,0.2105,0.002220360331117448,5,0.528210914,0.000754259154215283,0.52760382,0.5293840350000001,0.5157700000000001,0.0005922415047934638,0.51525,0.5166000000000001,0.48398,0.0006620045317065555,0.483,0.48460000000000003
tgbl-wiki,backoff,mlp,0.2105,0.002220360331117448,5,0.537259486,0.0008556035364392957,0.5364911300000001,0.538516005,0.52051,0.0006455617708631601,0.5197,0.52135,0.47942999999999997,0.0006210877554742021,0.47850000000000004,0.48009999999999997
tgbl-wiki,gru,forest,0.049780000000000005,0.0031697003012903305,5,0.50562531,0.0009287208117418941,0.50418491,0.506688135,0.5028900000000001,0.0004655641738794198,0.50215,0.5034000000000001,0.49711,0.00046556417387937717,0.4966,0.49784999999999996
tgbl-wiki,gru,linear,0.049780000000000005,0.0031697003012903305,5,0.505698822,0.0009767736529872095,0.504505965,0.50719752,0.50306,0.0005378196723810124,0.5023,0.5038,0.49694000000000005,0.0005378196723810124,0.4962,0.49770000000000003
tgbl-wiki,gru,mlp,0.049780000000000005,0.0031697003012903305,5,0.502489749,0.0011802346992780867,0.5005508,0.503569535,0.5013700000000001,0.0007571327492586894,0.5002,0.50205,0.4989,0.0006214901447328113,0.49825,0.4998
tgbl-wiki,temporal_graph_encoder,forest,0.0,0.0,5,0.5,3.925231146709438e-17,0.49999999999999994,0.5,0.5,0.0,0.5,0.5,0.5,0.0,0.5,0.5
tgbl-wiki,temporal_graph_encoder,linear,0.0,0.0,5,0.5,0.0,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.0,0.5,0.5
tgbl-wiki,temporal_graph_encoder,mlp,0.0,0.0,5,0.49999999700000003,4.472135930923471e-09,0.49999999,0.5,0.5,0.0,0.5,0.5,0.5,0.0,0.5,0.5
tgbl-wiki,transformer,forest,0.03276,0.010034590175986262,5,0.505089809,0.0015255644673095713,0.502632165,0.506338475,0.5025999999999999,0.0007778174593052147,0.50135,0.50325,0.4974,0.0007778174593052219,0.49674999999999997,0.49865000000000004
tgbl-wiki,transformer,linear,0.03276,0.010034590175986262,5,0.5050714079999999,0.0015587141729667842,0.502555505,0.506385725,0.5025999999999999,0.0007778174593052147,0.50135,0.50325,0.4974,0.0007778174593052147,0.49675,0.49865000000000004
tgbl-wiki,transformer,mlp,0.03276,0.010034590175986262,5,0.5021195100000001,0.0023321478597743634,0.500475035,0.5060030200000001,0.5010600000000001,0.0012973048986263903,0.5001,0.5031,0.49901999999999996,0.0012477980605851168,0.4969,0.4999
